Mean(R),retail_and_recreation_percent_change_from_baseline_11,grocery_and_pharmacy_percent_change_from_baseline_11,parks_percent_change_from_baseline_11,transit_stations_percent_change_from_baseline_11,workplaces_percent_change_from_baseline_11,residential_percent_change_from_baseline_11,retail_and_recreation_percent_change_from_baseline_10,grocery_and_pharmacy_percent_change_from_baseline_10,parks_percent_change_from_baseline_10,transit_stations_percent_change_from_baseline_10,workplaces_percent_change_from_baseline_10,residential_percent_change_from_baseline_10,retail_and_recreation_percent_change_from_baseline_9,grocery_and_pharmacy_percent_change_from_baseline_9,parks_percent_change_from_baseline_9,transit_stations_percent_change_from_baseline_9,workplaces_percent_change_from_baseline_9,residential_percent_change_from_baseline_9,retail_and_recreation_percent_change_from_baseline_8,grocery_and_pharmacy_percent_change_from_baseline_8,parks_percent_change_from_baseline_8,transit_stations_percent_change_from_baseline_8,workplaces_percent_change_from_baseline_8,residential_percent_change_from_baseline_8,retail_and_recreation_percent_change_from_baseline_7,grocery_and_pharmacy_percent_change_from_baseline_7,parks_percent_change_from_baseline_7,transit_stations_percent_change_from_baseline_7,workplaces_percent_change_from_baseline_7,residential_percent_change_from_baseline_7,retail_and_recreation_percent_change_from_baseline_6,grocery_and_pharmacy_percent_change_from_baseline_6,parks_percent_change_from_baseline_6,transit_stations_percent_change_from_baseline_6,workplaces_percent_change_from_baseline_6,residential_percent_change_from_baseline_6,retail_and_recreation_percent_change_from_baseline_5,grocery_and_pharmacy_percent_change_from_baseline_5,parks_percent_change_from_baseline_5,transit_stations_percent_change_from_baseline_5,workplaces_percent_change_from_baseline_5,residential_percent_change_from_baseline_5,retail_and_recreation_percent_change_from_baseline_4,grocery_and_pharmacy_percent_change_from_baseline_4,parks_percent_change_from_baseline_4,transit_stations_percent_change_from_baseline_4,workplaces_percent_change_from_baseline_4,residential_percent_change_from_baseline_4,retail_and_recreation_percent_change_from_baseline_3,grocery_and_pharmacy_percent_change_from_baseline_3,parks_percent_change_from_baseline_3,transit_stations_percent_change_from_baseline_3,workplaces_percent_change_from_baseline_3,residential_percent_change_from_baseline_3,retail_and_recreation_percent_change_from_baseline_2,grocery_and_pharmacy_percent_change_from_baseline_2,parks_percent_change_from_baseline_2,transit_stations_percent_change_from_baseline_2,workplaces_percent_change_from_baseline_2,residential_percent_change_from_baseline_2,retail_and_recreation_percent_change_from_baseline_1,grocery_and_pharmacy_percent_change_from_baseline_1,parks_percent_change_from_baseline_1,transit_stations_percent_change_from_baseline_1,workplaces_percent_change_from_baseline_1,residential_percent_change_from_baseline_1
0.904676594,-38,-14,24,-29,-48,19,-31,-10,8,-29,-48,19,-33,-8,26,-31,-48,20,-43,-20,-17,-38,-48,23,-38,-10,79,-26,-32,12,-38,-16,90,-35,-34,9,-30,-11,93,-27,-46,17,-33,-12,30,-28,-47,18,-32,-11,59,-27,-47,18,-35,-11,13,-32,-47,20,-34,-12,108,-26,-46,19
0.855087227,-31,-10,8,-29,-48,19,-33,-8,26,-31,-48,20,-43,-20,-17,-38,-48,23,-38,-10,79,-26,-32,12,-38,-16,90,-35,-34,9,-30,-11,93,-27,-46,17,-33,-12,30,-28,-47,18,-32,-11,59,-27,-47,18,-35,-11,13,-32,-47,20,-34,-12,108,-26,-46,19,-34,-9,136,-22,-31,10
0.844382023,-33,-8,26,-31,-48,20,-43,-20,-17,-38,-48,23,-38,-10,79,-26,-32,12,-38,-16,90,-35,-34,9,-30,-11,93,-27,-46,17,-33,-12,30,-28,-47,18,-32,-11,59,-27,-47,18,-35,-11,13,-32,-47,20,-34,-12,108,-26,-46,19,-34,-9,136,-22,-31,10,-40,-17,-13,-39,-35,10
0.886754475,-43,-20,-17,-38,-48,23,-38,-10,79,-26,-32,12,-38,-16,90,-35,-34,9,-30,-11,93,-27,-46,17,-33,-12,30,-28,-47,18,-32,-11,59,-27,-47,18,-35,-11,13,-32,-47,20,-34,-12,108,-26,-46,19,-34,-9,136,-22,-31,10,-40,-17,-13,-39,-35,10,-25,-6,106,-23,-44,16
0.954745116,-38,-10,79,-26,-32,12,-38,-16,90,-35,-34,9,-30,-11,93,-27,-46,17,-33,-12,30,-28,-47,18,-32,-11,59,-27,-47,18,-35,-11,13,-32,-47,20,-34,-12,108,-26,-46,19,-34,-9,136,-22,-31,10,-40,-17,-13,-39,-35,10,-25,-6,106,-23,-44,16,-26,-6,100,-21,-46,11
0.969333639,-38,-16,90,-35,-34,9,-30,-11,93,-27,-46,17,-33,-12,30,-28,-47,18,-32,-11,59,-27,-47,18,-35,-11,13,-32,-47,20,-34,-12,108,-26,-46,19,-34,-9,136,-22,-31,10,-40,-17,-13,-39,-35,10,-25,-6,106,-23,-44,16,-26,-6,100,-21,-46,11,-28,-8,22,-26,-46,18
0.976954981,-30,-11,93,-27,-46,17,-33,-12,30,-28,-47,18,-32,-11,59,-27,-47,18,-35,-11,13,-32,-47,20,-34,-12,108,-26,-46,19,-34,-9,136,-22,-31,10,-40,-17,-13,-39,-35,10,-25,-6,106,-23,-44,16,-26,-6,100,-21,-46,11,-28,-8,22,-26,-46,18,-29,-5,10,-28,-46,19
0.990892289,-33,-12,30,-28,-47,18,-32,-11,59,-27,-47,18,-35,-11,13,-32,-47,20,-34,-12,108,-26,-46,19,-34,-9,136,-22,-31,10,-40,-17,-13,-39,-35,10,-25,-6,106,-23,-44,16,-26,-6,100,-21,-46,11,-28,-8,22,-26,-46,18,-29,-5,10,-28,-46,19,-28,-3,95,-21,-44,17
1.00102262,-32,-11,59,-27,-47,18,-35,-11,13,-32,-47,20,-34,-12,108,-26,-46,19,-34,-9,136,-22,-31,10,-40,-17,-13,-39,-35,10,-25,-6,106,-23,-44,16,-26,-6,100,-21,-46,11,-28,-8,22,-26,-46,18,-29,-5,10,-28,-46,19,-28,-3,95,-21,-44,17,-28,1,222,-9,-28,7
1.003184863,-35,-11,13,-32,-47,20,-34,-12,108,-26,-46,19,-34,-9,136,-22,-31,10,-40,-17,-13,-39,-35,10,-25,-6,106,-23,-44,16,-26,-6,100,-21,-46,11,-28,-8,22,-26,-46,18,-29,-5,10,-28,-46,19,-28,-3,95,-21,-44,17,-28,1,222,-9,-28,7,-26,-4,150,-24,-29,6
0.99554139,-34,-12,108,-26,-46,19,-34,-9,136,-22,-31,10,-40,-17,-13,-39,-35,10,-25,-6,106,-23,-44,16,-26,-6,100,-21,-46,11,-28,-8,22,-26,-46,18,-29,-5,10,-28,-46,19,-28,-3,95,-21,-44,17,-28,1,222,-9,-28,7,-26,-4,150,-24,-29,6,-20,-2,80,-20,-42,14
0.982517376,-34,-9,136,-22,-31,10,-40,-17,-13,-39,-35,10,-25,-6,106,-23,-44,16,-26,-6,100,-21,-46,11,-28,-8,22,-26,-46,18,-29,-5,10,-28,-46,19,-28,-3,95,-21,-44,17,-28,1,222,-9,-28,7,-26,-4,150,-24,-29,6,-20,-2,80,-20,-42,14,-24,-1,31,-22,-43,16
0.966923931,-40,-17,-13,-39,-35,10,-25,-6,106,-23,-44,16,-26,-6,100,-21,-46,11,-28,-8,22,-26,-46,18,-29,-5,10,-28,-46,19,-28,-3,95,-21,-44,17,-28,1,222,-9,-28,7,-26,-4,150,-24,-29,6,-20,-2,80,-20,-42,14,-24,-1,31,-22,-43,16,-23,0,82,-18,-43,16
0.958434558,-25,-6,106,-23,-44,16,-26,-6,100,-21,-46,11,-28,-8,22,-26,-46,18,-29,-5,10,-28,-46,19,-28,-3,95,-21,-44,17,-28,1,222,-9,-28,7,-26,-4,150,-24,-29,6,-20,-2,80,-20,-42,14,-24,-1,31,-22,-43,16,-23,0,82,-18,-43,16,-24,1,113,-19,-42,16
0.953801388,-26,-6,100,-21,-46,11,-28,-8,22,-26,-46,18,-29,-5,10,-28,-46,19,-28,-3,95,-21,-44,17,-28,1,222,-9,-28,7,-26,-4,150,-24,-29,6,-20,-2,80,-20,-42,14,-24,-1,31,-22,-43,16,-23,0,82,-18,-43,16,-24,1,113,-19,-42,16,-32,-5,26,-25,-42,19
0.958787861,-28,-8,22,-26,-46,18,-29,-5,10,-28,-46,19,-28,-3,95,-21,-44,17,-28,1,222,-9,-28,7,-26,-4,150,-24,-29,6,-20,-2,80,-20,-42,14,-24,-1,31,-22,-43,16,-23,0,82,-18,-43,16,-24,1,113,-19,-42,16,-32,-5,26,-25,-42,19,-29,10,69,-17,-26,9
0.971615302,-29,-5,10,-28,-46,19,-28,-3,95,-21,-44,17,-28,1,222,-9,-28,7,-26,-4,150,-24,-29,6,-20,-2,80,-20,-42,14,-24,-1,31,-22,-43,16,-23,0,82,-18,-43,16,-24,1,113,-19,-42,16,-32,-5,26,-25,-42,19,-29,10,69,-17,-26,9,-27,1,58,-23,-25,5
0.979668043,-28,-3,95,-21,-44,17,-28,1,222,-9,-28,7,-26,-4,150,-24,-29,6,-20,-2,80,-20,-42,14,-24,-1,31,-22,-43,16,-23,0,82,-18,-43,16,-24,1,113,-19,-42,16,-32,-5,26,-25,-42,19,-29,10,69,-17,-26,9,-27,1,58,-23,-25,5,-30,-10,2,-25,-40,16
0.982242839,-28,1,222,-9,-28,7,-26,-4,150,-24,-29,6,-20,-2,80,-20,-42,14,-24,-1,31,-22,-43,16,-23,0,82,-18,-43,16,-24,1,113,-19,-42,16,-32,-5,26,-25,-42,19,-29,10,69,-17,-26,9,-27,1,58,-23,-25,5,-30,-10,2,-25,-40,16,-21,-1,90,-16,-39,14
0.976942624,-26,-4,150,-24,-29,6,-20,-2,80,-20,-42,14,-24,-1,31,-22,-43,16,-23,0,82,-18,-43,16,-24,1,113,-19,-42,16,-32,-5,26,-25,-42,19,-29,10,69,-17,-26,9,-27,1,58,-23,-25,5,-30,-10,2,-25,-40,16,-21,-1,90,-16,-39,14,-18,0,130,-14,-40,14
0.97506687,-20,-2,80,-20,-42,14,-24,-1,31,-22,-43,16,-23,0,82,-18,-43,16,-24,1,113,-19,-42,16,-32,-5,26,-25,-42,19,-29,10,69,-17,-26,9,-27,1,58,-23,-25,5,-30,-10,2,-25,-40,16,-21,-1,90,-16,-39,14,-18,0,130,-14,-40,14,-24,-2,54,-21,-40,16
0.978417641,-24,-1,31,-22,-43,16,-23,0,82,-18,-43,16,-24,1,113,-19,-42,16,-32,-5,26,-25,-42,19,-29,10,69,-17,-26,9,-27,1,58,-23,-25,5,-30,-10,2,-25,-40,16,-21,-1,90,-16,-39,14,-18,0,130,-14,-40,14,-24,-2,54,-21,-40,16,-25,-6,65,-20,-39,16
0.984115078,-23,0,82,-18,-43,16,-24,1,113,-19,-42,16,-32,-5,26,-25,-42,19,-29,10,69,-17,-26,9,-27,1,58,-23,-25,5,-30,-10,2,-25,-40,16,-21,-1,90,-16,-39,14,-18,0,130,-14,-40,14,-24,-2,54,-21,-40,16,-25,-6,65,-20,-39,16,-22,2,192,-7,-21,6
0.981724093,-24,1,113,-19,-42,16,-32,-5,26,-25,-42,19,-29,10,69,-17,-26,9,-27,1,58,-23,-25,5,-30,-10,2,-25,-40,16,-21,-1,90,-16,-39,14,-18,0,130,-14,-40,14,-24,-2,54,-21,-40,16,-25,-6,65,-20,-39,16,-22,2,192,-7,-21,6,-20,-3,135,-19,-21,5
0.975149635,-32,-5,26,-25,-42,19,-29,10,69,-17,-26,9,-27,1,58,-23,-25,5,-30,-10,2,-25,-40,16,-21,-1,90,-16,-39,14,-18,0,130,-14,-40,14,-24,-2,54,-21,-40,16,-25,-6,65,-20,-39,16,-22,2,192,-7,-21,6,-20,-3,135,-19,-21,5,-21,-8,4,-25,-37,15
0.96012149,-29,10,69,-17,-26,9,-27,1,58,-23,-25,5,-30,-10,2,-25,-40,16,-21,-1,90,-16,-39,14,-18,0,130,-14,-40,14,-24,-2,54,-21,-40,16,-25,-6,65,-20,-39,16,-22,2,192,-7,-21,6,-20,-3,135,-19,-21,5,-21,-8,4,-25,-37,15,-18,-3,34,-19,-38,14
0.943839508,-27,1,58,-23,-25,5,-30,-10,2,-25,-40,16,-21,-1,90,-16,-39,14,-18,0,130,-14,-40,14,-24,-2,54,-21,-40,16,-25,-6,65,-20,-39,16,-22,2,192,-7,-21,6,-20,-3,135,-19,-21,5,-21,-8,4,-25,-37,15,-18,-3,34,-19,-38,14,-14,2,69,-13,-38,13
0.930566441,-30,-10,2,-25,-40,16,-21,-1,90,-16,-39,14,-18,0,130,-14,-40,14,-24,-2,54,-21,-40,16,-25,-6,65,-20,-39,16,-22,2,192,-7,-21,6,-20,-3,135,-19,-21,5,-21,-8,4,-25,-37,15,-18,-3,34,-19,-38,14,-14,2,69,-13,-38,13,-12,3,84,-13,-38,13
0.919793758,-21,-1,90,-16,-39,14,-18,0,130,-14,-40,14,-24,-2,54,-21,-40,16,-25,-6,65,-20,-39,16,-22,2,192,-7,-21,6,-20,-3,135,-19,-21,5,-21,-8,4,-25,-37,15,-18,-3,34,-19,-38,14,-14,2,69,-13,-38,13,-12,3,84,-13,-38,13,-16,1,125,-11,-38,13
0.914275157,-18,0,130,-14,-40,14,-24,-2,54,-21,-40,16,-25,-6,65,-20,-39,16,-22,2,192,-7,-21,6,-20,-3,135,-19,-21,5,-21,-8,4,-25,-37,15,-18,-3,34,-19,-38,14,-14,2,69,-13,-38,13,-12,3,84,-13,-38,13,-16,1,125,-11,-38,13,-18,6,226,-1,-18,3
0.91023381,-24,-2,54,-21,-40,16,-25,-6,65,-20,-39,16,-22,2,192,-7,-21,6,-20,-3,135,-19,-21,5,-21,-8,4,-25,-37,15,-18,-3,34,-19,-38,14,-14,2,69,-13,-38,13,-12,3,84,-13,-38,13,-16,1,125,-11,-38,13,-18,6,226,-1,-18,3,-10,9,253,-11,-22,1
0.904648178,-25,-6,65,-20,-39,16,-22,2,192,-7,-21,6,-20,-3,135,-19,-21,5,-21,-8,4,-25,-37,15,-18,-3,34,-19,-38,14,-14,2,69,-13,-38,13,-12,3,84,-13,-38,13,-16,1,125,-11,-38,13,-18,6,226,-1,-18,3,-10,9,253,-11,-22,1,-19,-1,176,-27,-73,19
0.893082423,-22,2,192,-7,-21,6,-20,-3,135,-19,-21,5,-21,-8,4,-25,-37,15,-18,-3,34,-19,-38,14,-14,2,69,-13,-38,13,-12,3,84,-13,-38,13,-16,1,125,-11,-38,13,-18,6,226,-1,-18,3,-10,9,253,-11,-22,1,-19,-1,176,-27,-73,19,-8,3,136,-11,-36,11
0.882656957,-20,-3,135,-19,-21,5,-21,-8,4,-25,-37,15,-18,-3,34,-19,-38,14,-14,2,69,-13,-38,13,-12,3,84,-13,-38,13,-16,1,125,-11,-38,13,-18,6,226,-1,-18,3,-10,9,253,-11,-22,1,-19,-1,176,-27,-73,19,-8,3,136,-11,-36,11,-6,3,138,-8,-35,11
0.879409583,-21,-8,4,-25,-37,15,-18,-3,34,-19,-38,14,-14,2,69,-13,-38,13,-12,3,84,-13,-38,13,-16,1,125,-11,-38,13,-18,6,226,-1,-18,3,-10,9,253,-11,-22,1,-19,-1,176,-27,-73,19,-8,3,136,-11,-36,11,-6,3,138,-8,-35,11,-7,5,111,-11,-35,12
0.883438387,-18,-3,34,-19,-38,14,-14,2,69,-13,-38,13,-12,3,84,-13,-38,13,-16,1,125,-11,-38,13,-18,6,226,-1,-18,3,-10,9,253,-11,-22,1,-19,-1,176,-27,-73,19,-8,3,136,-11,-36,11,-6,3,138,-8,-35,11,-7,5,111,-11,-35,12,-16,-4,93,-12,-34,13
0.893721585,-14,2,69,-13,-38,13,-12,3,84,-13,-38,13,-16,1,125,-11,-38,13,-18,6,226,-1,-18,3,-10,9,253,-11,-22,1,-19,-1,176,-27,-73,19,-8,3,136,-11,-36,11,-6,3,138,-8,-35,11,-7,5,111,-11,-35,12,-16,-4,93,-12,-34,13,-13,5,230,5,-9,3
0.910762182,-12,3,84,-13,-38,13,-16,1,125,-11,-38,13,-18,6,226,-1,-18,3,-10,9,253,-11,-22,1,-19,-1,176,-27,-73,19,-8,3,136,-11,-36,11,-6,3,138,-8,-35,11,-7,5,111,-11,-35,12,-16,-4,93,-12,-34,13,-13,5,230,5,-9,3,-8,4,210,-4,-11,2
0.926022749,-16,1,125,-11,-38,13,-18,6,226,-1,-18,3,-10,9,253,-11,-22,1,-19,-1,176,-27,-73,19,-8,3,136,-11,-36,11,-6,3,138,-8,-35,11,-7,5,111,-11,-35,12,-16,-4,93,-12,-34,13,-13,5,230,5,-9,3,-8,4,210,-4,-11,2,-3,4,125,-7,-33,9
0.938042168,-18,6,226,-1,-18,3,-10,9,253,-11,-22,1,-19,-1,176,-27,-73,19,-8,3,136,-11,-36,11,-6,3,138,-8,-35,11,-7,5,111,-11,-35,12,-16,-4,93,-12,-34,13,-13,5,230,5,-9,3,-8,4,210,-4,-11,2,-3,4,125,-7,-33,9,-4,7,154,-6,-33,9
0.942366154,-10,9,253,-11,-22,1,-19,-1,176,-27,-73,19,-8,3,136,-11,-36,11,-6,3,138,-8,-35,11,-7,5,111,-11,-35,12,-16,-4,93,-12,-34,13,-13,5,230,5,-9,3,-8,4,210,-4,-11,2,-3,4,125,-7,-33,9,-4,7,154,-6,-33,9,-3,9,130,-9,-33,10
0.949629256,-19,-1,176,-27,-73,19,-8,3,136,-11,-36,11,-6,3,138,-8,-35,11,-7,5,111,-11,-35,12,-16,-4,93,-12,-34,13,-13,5,230,5,-9,3,-8,4,210,-4,-11,2,-3,4,125,-7,-33,9,-4,7,154,-6,-33,9,-3,9,130,-9,-33,10,-7,6,100,-11,-33,11
0.962818972,-8,3,136,-11,-36,11,-6,3,138,-8,-35,11,-7,5,111,-11,-35,12,-16,-4,93,-12,-34,13,-13,5,230,5,-9,3,-8,4,210,-4,-11,2,-3,4,125,-7,-33,9,-4,7,154,-6,-33,9,-3,9,130,-9,-33,10,-7,6,100,-11,-33,11,-11,3,179,-7,-33,10
0.983859443,-6,3,138,-8,-35,11,-7,5,111,-11,-35,12,-16,-4,93,-12,-34,13,-13,5,230,5,-9,3,-8,4,210,-4,-11,2,-3,4,125,-7,-33,9,-4,7,154,-6,-33,9,-3,9,130,-9,-33,10,-7,6,100,-11,-33,11,-11,3,179,-7,-33,10,-12,8,270,4,-11,1
1.019674567,-7,5,111,-11,-35,12,-16,-4,93,-12,-34,13,-13,5,230,5,-9,3,-8,4,210,-4,-11,2,-3,4,125,-7,-33,9,-4,7,154,-6,-33,9,-3,9,130,-9,-33,10,-7,6,100,-11,-33,11,-11,3,179,-7,-33,10,-12,8,270,4,-11,1,-5,6,271,-2,-12,0
1.057471797,-16,-4,93,-12,-34,13,-13,5,230,5,-9,3,-8,4,210,-4,-11,2,-3,4,125,-7,-33,9,-4,7,154,-6,-33,9,-3,9,130,-9,-33,10,-7,6,100,-11,-33,11,-11,3,179,-7,-33,10,-12,8,270,4,-11,1,-5,6,271,-2,-12,0,-3,5,147,-7,-32,9
1.09133971,-13,5,230,5,-9,3,-8,4,210,-4,-11,2,-3,4,125,-7,-33,9,-4,7,154,-6,-33,9,-3,9,130,-9,-33,10,-7,6,100,-11,-33,11,-11,3,179,-7,-33,10,-12,8,270,4,-11,1,-5,6,271,-2,-12,0,-3,5,147,-7,-32,9,-4,4,147,-7,-32,9
1.117242185,-8,4,210,-4,-11,2,-3,4,125,-7,-33,9,-4,7,154,-6,-33,9,-3,9,130,-9,-33,10,-7,6,100,-11,-33,11,-11,3,179,-7,-33,10,-12,8,270,4,-11,1,-5,6,271,-2,-12,0,-3,5,147,-7,-32,9,-4,4,147,-7,-32,9,-5,3,103,-10,-33,10
1.141207625,-3,4,125,-7,-33,9,-4,7,154,-6,-33,9,-3,9,130,-9,-33,10,-7,6,100,-11,-33,11,-11,3,179,-7,-33,10,-12,8,270,4,-11,1,-5,6,271,-2,-12,0,-3,5,147,-7,-32,9,-4,4,147,-7,-32,9,-5,3,103,-10,-33,10,-1,8,188,-5,-32,8
1.178328381,-4,7,154,-6,-33,9,-3,9,130,-9,-33,10,-7,6,100,-11,-33,11,-11,3,179,-7,-33,10,-12,8,270,4,-11,1,-5,6,271,-2,-12,0,-3,5,147,-7,-32,9,-4,4,147,-7,-32,9,-5,3,103,-10,-33,10,-1,8,188,-5,-32,8,-8,2,227,-1,-32,8
1.210161788,-3,9,130,-9,-33,10,-7,6,100,-11,-33,11,-11,3,179,-7,-33,10,-12,8,270,4,-11,1,-5,6,271,-2,-12,0,-3,5,147,-7,-32,9,-4,4,147,-7,-32,9,-5,3,103,-10,-33,10,-1,8,188,-5,-32,8,-8,2,227,-1,-32,8,-10,5,254,5,-9,1
1.236398002,-7,6,100,-11,-33,11,-11,3,179,-7,-33,10,-12,8,270,4,-11,1,-5,6,271,-2,-12,0,-3,5,147,-7,-32,9,-4,4,147,-7,-32,9,-5,3,103,-10,-33,10,-1,8,188,-5,-32,8,-8,2,227,-1,-32,8,-10,5,254,5,-9,1,-4,3,257,1,-10,0
1.253776417,-11,3,179,-7,-33,10,-12,8,270,4,-11,1,-5,6,271,-2,-12,0,-3,5,147,-7,-32,9,-4,4,147,-7,-32,9,-5,3,103,-10,-33,10,-1,8,188,-5,-32,8,-8,2,227,-1,-32,8,-10,5,254,5,-9,1,-4,3,257,1,-10,0,-3,2,148,-5,-32,8
1.266594692,-12,8,270,4,-11,1,-5,6,271,-2,-12,0,-3,5,147,-7,-32,9,-4,4,147,-7,-32,9,-5,3,103,-10,-33,10,-1,8,188,-5,-32,8,-8,2,227,-1,-32,8,-10,5,254,5,-9,1,-4,3,257,1,-10,0,-3,2,148,-5,-32,8,-1,6,196,-3,-31,8
1.272900026,-5,6,271,-2,-12,0,-3,5,147,-7,-32,9,-4,4,147,-7,-32,9,-5,3,103,-10,-33,10,-1,8,188,-5,-32,8,-8,2,227,-1,-32,8,-10,5,254,5,-9,1,-4,3,257,1,-10,0,-3,2,148,-5,-32,8,-1,6,196,-3,-31,8,0,7,190,-3,-32,8
1.28124666,-3,5,147,-7,-32,9,-4,4,147,-7,-32,9,-5,3,103,-10,-33,10,-1,8,188,-5,-32,8,-8,2,227,-1,-32,8,-10,5,254,5,-9,1,-4,3,257,1,-10,0,-3,2,148,-5,-32,8,-1,6,196,-3,-31,8,0,7,190,-3,-32,8,-2,8,156,-4,-33,8
1.293066618,-4,4,147,-7,-32,9,-5,3,103,-10,-33,10,-1,8,188,-5,-32,8,-8,2,227,-1,-32,8,-10,5,254,5,-9,1,-4,3,257,1,-10,0,-3,2,148,-5,-32,8,-1,6,196,-3,-31,8,0,7,190,-3,-32,8,-2,8,156,-4,-33,8,-8,5,222,2,-33,6
1.296197769,-5,3,103,-10,-33,10,-1,8,188,-5,-32,8,-8,2,227,-1,-32,8,-10,5,254,5,-9,1,-4,3,257,1,-10,0,-3,2,148,-5,-32,8,-1,6,196,-3,-31,8,0,7,190,-3,-32,8,-2,8,156,-4,-33,8,-8,5,222,2,-33,6,-10,12,298,12,-8,0
1.283525413,-1,8,188,-5,-32,8,-8,2,227,-1,-32,8,-10,5,254,5,-9,1,-4,3,257,1,-10,0,-3,2,148,-5,-32,8,-1,6,196,-3,-31,8,0,7,190,-3,-32,8,-2,8,156,-4,-33,8,-8,5,222,2,-33,6,-10,12,298,12,-8,0,-6,8,207,2,-9,-1
1.264990576,-8,2,227,-1,-32,8,-10,5,254,5,-9,1,-4,3,257,1,-10,0,-3,2,148,-5,-32,8,-1,6,196,-3,-31,8,0,7,190,-3,-32,8,-2,8,156,-4,-33,8,-8,5,222,2,-33,6,-10,12,298,12,-8,0,-6,8,207,2,-9,-1,-6,0,106,-7,-34,9
1.244889285,-10,5,254,5,-9,1,-4,3,257,1,-10,0,-3,2,148,-5,-32,8,-1,6,196,-3,-31,8,0,7,190,-3,-32,8,-2,8,156,-4,-33,8,-8,5,222,2,-33,6,-10,12,298,12,-8,0,-6,8,207,2,-9,-1,-6,0,106,-7,-34,9,-4,2,122,-5,-34,9
1.225203091,-4,3,257,1,-10,0,-3,2,148,-5,-32,8,-1,6,196,-3,-31,8,0,7,190,-3,-32,8,-2,8,156,-4,-33,8,-8,5,222,2,-33,6,-10,12,298,12,-8,0,-6,8,207,2,-9,-1,-6,0,106,-7,-34,9,-4,2,122,-5,-34,9,-1,4,182,-1,-32,8
1.215389762,-3,2,148,-5,-32,8,-1,6,196,-3,-31,8,0,7,190,-3,-32,8,-2,8,156,-4,-33,8,-8,5,222,2,-33,6,-10,12,298,12,-8,0,-6,8,207,2,-9,-1,-6,0,106,-7,-34,9,-4,2,122,-5,-34,9,-1,4,182,-1,-32,8,-2,7,185,-1,-32,8
1.211388813,-1,6,196,-3,-31,8,0,7,190,-3,-32,8,-2,8,156,-4,-33,8,-8,5,222,2,-33,6,-10,12,298,12,-8,0,-6,8,207,2,-9,-1,-6,0,106,-7,-34,9,-4,2,122,-5,-34,9,-1,4,182,-1,-32,8,-2,7,185,-1,-32,8,-10,0,204,1,-32,8
1.207378644,0,7,190,-3,-32,8,-2,8,156,-4,-33,8,-8,5,222,2,-33,6,-10,12,298,12,-8,0,-6,8,207,2,-9,-1,-6,0,106,-7,-34,9,-4,2,122,-5,-34,9,-1,4,182,-1,-32,8,-2,7,185,-1,-32,8,-10,0,204,1,-32,8,-12,2,190,9,-10,2
1.194352228,-2,8,156,-4,-33,8,-8,5,222,2,-33,6,-10,12,298,12,-8,0,-6,8,207,2,-9,-1,-6,0,106,-7,-34,9,-4,2,122,-5,-34,9,-1,4,182,-1,-32,8,-2,7,185,-1,-32,8,-10,0,204,1,-32,8,-12,2,190,9,-10,2,-6,2,248,7,-8,0
1.174198297,-8,5,222,2,-33,6,-10,12,298,12,-8,0,-6,8,207,2,-9,-1,-6,0,106,-7,-34,9,-4,2,122,-5,-34,9,-1,4,182,-1,-32,8,-2,7,185,-1,-32,8,-10,0,204,1,-32,8,-12,2,190,9,-10,2,-6,2,248,7,-8,0,-2,3,155,-2,-32,8
1.153286765,-10,12,298,12,-8,0,-6,8,207,2,-9,-1,-6,0,106,-7,-34,9,-4,2,122,-5,-34,9,-1,4,182,-1,-32,8,-2,7,185,-1,-32,8,-10,0,204,1,-32,8,-12,2,190,9,-10,2,-6,2,248,7,-8,0,-2,3,155,-2,-32,8,1,7,176,0,-33,8
1.140607625,-6,8,207,2,-9,-1,-6,0,106,-7,-34,9,-4,2,122,-5,-34,9,-1,4,182,-1,-32,8,-2,7,185,-1,-32,8,-10,0,204,1,-32,8,-12,2,190,9,-10,2,-6,2,248,7,-8,0,-2,3,155,-2,-32,8,1,7,176,0,-33,8,6,13,190,4,-34,7
1.139534937,-6,0,106,-7,-34,9,-4,2,122,-5,-34,9,-1,4,182,-1,-32,8,-2,7,185,-1,-32,8,-10,0,204,1,-32,8,-12,2,190,9,-10,2,-6,2,248,7,-8,0,-2,3,155,-2,-32,8,1,7,176,0,-33,8,6,13,190,4,-34,7,9,21,212,6,-37,7
1.142024678,-4,2,122,-5,-34,9,-1,4,182,-1,-32,8,-2,7,185,-1,-32,8,-10,0,204,1,-32,8,-12,2,190,9,-10,2,-6,2,248,7,-8,0,-2,3,155,-2,-32,8,1,7,176,0,-33,8,6,13,190,4,-34,7,9,21,212,6,-37,7,-3,17,274,-2,-58,12
1.148256802,-1,4,182,-1,-32,8,-2,7,185,-1,-32,8,-10,0,204,1,-32,8,-12,2,190,9,-10,2,-6,2,248,7,-8,0,-2,3,155,-2,-32,8,1,7,176,0,-33,8,6,13,190,4,-34,7,9,21,212,6,-37,7,-3,17,274,-2,-58,12,-35,0,271,-4,-30,1
1.14742252,-2,7,185,-1,-32,8,-10,0,204,1,-32,8,-12,2,190,9,-10,2,-6,2,248,7,-8,0,-2,3,155,-2,-32,8,1,7,176,0,-33,8,6,13,190,4,-34,7,9,21,212,6,-37,7,-3,17,274,-2,-58,12,-35,0,271,-4,-30,1,-13,-5,226,3,-16,0
